location,size,total_sqft,bath,price,bhk,price_per_sqft
Koramangala,2 BHK,2.0,2.0,82.0,2,4100000.0
KR Puram,2 BHK,2.0,2.0,44.5,2,2225000.0
Mahadevpura,2 BHK,2.0,2.0,53.8,2,2690000.0
Hennagara,6 BHK,2.0,6.0,120.0,6,6000000.0
Indira Nagar,3 BHK,2.0,4.0,312.0,3,15600000.0
Vishwanatha Nagenahalli,3 BHK,2.0,3.0,110.0,3,5500000.0
Whitefield,2 BHK,2.0,2.0,40.0,2,2000000.0
Hebbal Kempapura,2 BHK,2.0,2.0,60.0,2,3000000.0
Padmanabhanagar,2 BHK,2.0,2.0,60.0,2,3000000.0
Sarjapur  Road,2 BHK,2.0,2.0,37.0,2,1850000.0
TC Palaya,8 Bedroom,2.0,8.0,150.0,8,7500000.0
Byrathi Village,4 Bedroom,2.0,3.0,55.0,4,2750000.0
Uttarahalli,2 BHK,2.0,2.0,41.3,2,2064999.9999999998
Ullal Uppanagar,7 Bedroom,2.0,7.0,169.0,7,8450000.0
Govindpura,6 Bedroom,2.0,7.0,100.0,6,5000000.0
KR Puram,2 BHK,2.0,2.0,47.0,2,2350000.0
Sarjapur  Road,3 BHK,2.0,3.0,51.0,3,2550000.0
Vidyaranyapura,9 BHK,2.0,10.0,130.0,9,6500000.0
Whitefield,1 BHK,630.5,1.0,32.15,1,5099.127676447264
 south,3 Bedroom,2.0,2.0,480.0,3,24000000.0
Haralur Road,2 BHK,2.0,2.0,44.0,2,2200000.0
Ittamadu,5 Bedroom,2.0,4.0,130.0,5,6500000.0
Jalahalli,3 BHK,2.0,4.0,165.0,3,8250000.0
Electronic City,3 BHK,2.0,2.0,28.41,3,1420500.0
Yelahanka,2 BHK,2.0,2.0,54.0,2,2700000.0
Haralur Road,3 BHK,2.0,3.0,105.0,3,5250000.0
Rainbow Drive,3 Bedroom,2.0,3.0,138.0,3,6900000.0
Kamala Nagar,2 BHK,2.0,2.0,43.0,2,2150000.0
Shampura,6 Bedroom,2.0,6.0,75.0,6,3750000.0
Kanakpura Road,3 BHK,2.0,2.0,52.33,3,2616500.0
Kothanur,2 BHK,2.0,2.0,68.5,2,3425000.0
Whitefield,1 BHK,2.0,1.0,52.0,1,2600000.0
Raja Rajeshwari Nagar,2 BHK,2.0,2.0,55.79,2,2789500.0
Electronics City Phase 1,3 BHK,2.0,3.0,71.0,3,3550000.0
Gottigere,3 BHK,2.0,2.0,95.0,3,4750000.0
Harlur,3 BHK,2.0,3.0,110.0,3,5500000.0
Chandapura,4 Bedroom,2.0,4.0,250.0,4,12500000.0
Sarjapur  Road,2 BHK,2.0,2.0,38.5,2,1925000.0
Ramamurthy Nagar,3 Bedroom,2.0,4.0,88.0,3,4400000.0
Thanisandra,2 BHK,2.0,1.0,54.0,2,2700000.0
3rd Block Koramangala,3 BHK,2.0,3.0,170.0,3,8500000.0
Anekal,3 BHK,2.0,3.0,55.0,3,2750000.0
Kothanur,3 BHK,2.0,3.0,111.0,3,5550000.0
Yelahanka,2 BHK,2.0,2.0,75.0,2,3750000.0
Kanaka Nagar,3 Bedroom,2.0,3.0,99.0,3,4950000.0
Sahakara Nagar,3 BHK,2.0,3.0,125.0,3,6250000.0
Kaggadasapura,3 BHK,2.0,2.0,50.0,3,2500000.0
Brookefield,2 BHK,2.0,2.0,48.0,2,2400000.0
Devanahalli,4 Bedroom,2.0,4.0,465.0,4,23250000.0
Kanakpura Road,3 BHK,2.0,3.0,86.58,3,4329000.0
Hennur Road,2 BHK,2.0,2.0,84.18,2,4209000.0
Chikkalasandra,3 BHK,2.0,2.0,55.25,3,2762500.0
Madiwala,3 Bedroom,2.0,2.0,80.0,3,4000000.0
Kengeri Satellite Town,4 Bedroom,2.0,3.0,300.0,4,15000000.0
Mathikere,6 Bedroom,2.0,3.0,105.0,6,5250000.0
Pattanagere,2 BHK,2.0,2.0,35.0,2,1750000.0
Kanakpura Road,1 BHK,2.0,1.0,38.44,1,1922000.0
Rajaji Nagar,4 BHK,2648.0,5.0,251.5,4,9497.73413897281
Basaveshwara Nagar Yelahanka,3 Bedroom,2.0,4.0,180.0,3,9000000.0
TC Palaya,2 Bedroom,2.0,2.0,55.0,2,2750000.0
Hebbal,2 BHK,2.0,2.0,49.0,2,2450000.0
Kengeri Satellite Town,1 BHK,2.0,1.0,22.0,1,1100000.0
Peenya,2 BHK,2.0,1.0,55.0,2,2750000.0
Singapura Village,4 Bedroom,2.0,5.0,75.0,4,3750000.0
Wilson Garden,3 BHK,2.0,3.0,135.0,3,6750000.0
Jakkasandra Extension,2 BHK,2.0,2.0,58.0,2,2900000.0
Uttarahalli,2 BHK,2.0,2.0,42.0,2,2100000.0
Hebbal,2 BHK,2.0,2.0,62.0,2,3100000.0
Harlur,3 BHK,2.0,3.0,77.5,3,3875000.0
Seshadripuram,2 BHK,2.0,2.0,100.0,2,5000000.0
Ganesha Block,3 BHK,2.0,3.0,118.0,3,5900000.0
4th Block Jayanagar,3 BHK,2.0,3.0,240.0,3,12000000.0
Kothanur,2 BHK,2.0,2.0,58.0,2,2900000.0
Whitefield,3 Bedroom,2.0,3.0,57.15,3,2857500.0
Electronic City,2 BHK,2.0,2.0,52.0,2,2600000.0
Shikaripalya,2 BHK,2.0,2.0,58.0,2,2900000.0
Sahakara Nagar,2 BHK,2.0,2.0,55.0,2,2750000.0
Friends Colony,2 BHK,2.0,2.0,44.0,2,2200000.0
Sonnenahalli,1 BHK,614.5,1.0,30.715,1,4998.372660699756
2nd Block Jayanagar,2 BHK,2.0,2.0,97.0,2,4850000.0
Hegde Nagar,2 BHK,2.0,2.0,49.35,2,2467500.0
Vittasandra,3 BHK,2.0,3.0,84.0,3,4200000.0
Malur Hosur Road,6 Bedroom,2.0,4.0,100.0,6,5000000.0
Lakshmipura Vidyaanyapura,8 Bedroom,2.0,6.0,120.0,8,6000000.0
Nagaraja Garden,3 BHK,2.0,3.0,78.65,3,3932500.0000000005
Marathahalli,3 BHK,2.0,2.0,58.0,3,2900000.0
JP Nagar,3 BHK,2.0,2.0,110.0,3,5500000.0
Hennur,3 BHK,2.0,3.0,54.24,3,2712000.0
Nagawara Junction,2 Bedroom,2.0,2.0,30.0,2,1500000.0
Banashankari,3 BHK,2.0,5.0,250.0,3,12500000.0
Channasandra,2 BHK,2.0,2.0,55.0,2,2750000.0
Hegganahalli,1 Bedroom,2.0,2.0,45.0,1,2250000.0
Rajanna Layout,2 BHK,2.0,2.0,37.6,2,1880000.0
Nagarbhavi  BDA Complex,3 Bedroom,2.0,2.0,85.0,3,4250000.0
Sarakki Nagar,3 BHK,2.0,4.0,338.0,3,16900000.0
Devasthanagalu,2 BHK,2.0,2.0,45.0,2,2250000.0
JP Nagar,2 BHK,2.0,2.0,45.0,2,2250000.0
Kammasandra,3 BHK,2.0,2.0,34.13,3,1706500.0000000002
Vijayanagar,3 BHK,2.0,3.0,79.19,3,3959500.0
Green Glen Layout,3 BHK,2.0,3.0,68.0,3,3400000.0
Whitefield,3 BHK,2.0,2.0,52.43,3,2621500.0
Kanakpura Road,2 BHK,2.0,2.0,107.0,2,5350000.0
Thanisandra,3 BHK,2.0,3.0,135.0,3,6750000.0
Adityanagar,5 Bedroom,2.0,5.0,120.0,5,6000000.0
Hallehalli,4 Bedroom,2.0,4.0,65.0,4,3250000.0
Sarjapur  Road,3 BHK,2.0,2.0,45.75,3,2287500.0
Electronics City Phase 1,3 BHK,2.0,2.0,56.0,3,2800000.0
Jayamahal Extension,4 BHK,2.0,4.0,400.0,4,20000000.0
Bannerghatta Road,3 Bedroom,2.0,4.0,239.0,3,11950000.0
Thanisandra,3 BHK,2336.5,3.0,115.89,3,4959.982880376631
JP Nagar,2 BHK,2.0,2.0,47.88,2,2394000.0
2nd Stage Nagarbhavi,4 Bedroom,2.0,4.0,225.0,4,11250000.0
Sarjapur  Road,5 BHK,2.0,7.0,329.0,5,16450000.0
Kanakpura Road,3 BHK,2.0,3.0,62.4,3,3120000.0
Whitefield,2 BHK,2.0,2.0,37.85,2,1892500.0
Wilson Garden,6 Bedroom,2.0,6.0,850.0,6,42500000.0
Channasandra,2 BHK,2.0,2.0,41.0,2,2050000.0
Panathur,3 BHK,2.0,2.0,54.8,3,2740000.0
Yelahanka,2 BHK,2.0,2.0,39.37,2,1968499.9999999998
JP Nagar,3 BHK,2.0,3.0,41.2,3,2060000.0000000002
Old Madras Road,4 BHK,2.0,3.0,115.0,4,5750000.0
Thigalarapalya,2 BHK,2.0,2.0,106.0,2,5300000.0
Thanisandra,2 BHK,2.0,2.0,46.6,2,2330000.0
Anandapura,3 BHK,2.0,3.0,58.0,3,2900000.0
Dodda Nekkundi,2 BHK,2.0,2.0,56.0,2,2800000.0
Green View Layout,2 BHK,2.0,2.0,36.0,2,1800000.0
Kudlu,3 BHK,2.0,2.0,85.0,3,4250000.0
TC Palaya,3 Bedroom,2.0,2.0,66.0,3,3300000.0
Munnekollal,2 BHK,2.0,2.0,75.0,2,3750000.0
HSR Layout,2 BHK,2.0,2.0,69.0,2,3450000.0
Sarakki Nagar,3 BHK,2.0,4.0,175.0,3,8750000.0
Vidyaranyapura,3 BHK,2.0,2.0,70.0,3,3500000.0
Ramamurthy Nagar,3 BHK,2.0,2.0,52.0,3,2600000.0
Thanisandra,2 BHK,2.0,2.0,75.0,2,3750000.0
Gidada Konnenahalli,6 Bedroom,2.0,4.0,105.0,6,5250000.0
Whitefield,2 BHK,2.0,2.0,83.0,2,4150000.0
Marenahalli,1 BHK,2.0,1.0,75.0,1,3750000.0
Sector 1 HSR Layout,5 Bedroom,2.0,5.0,300.0,5,15000000.0
Sompura,2 BHK,2.0,2.0,39.0,2,1950000.0
Mysore Road,1 Bedroom,2.0,1.0,23.0,1,1150000.0
Raja Rajeshwari Nagar,2 BHK,2.0,2.0,65.0,2,3250000.0
Whitefield,2 BHK,2.0,2.0,65.0,2,3250000.0
Devanahalli,1 BHK,2.0,1.0,34.0,1,1700000.0
Sahakara Nagar,3 Bedroom,2.0,3.0,250.0,3,12500000.0
Whitefield,3 BHK,2.0,3.0,280.0,3,14000000.0
1st Phase JP Nagar,1 BHK,2.0,1.0,63.0,1,3150000.0
Chandapura,3 BHK,2.0,3.0,42.0,3,2100000.0
Raja Rajeshwari Nagar,2 BHK,2.0,2.0,38.41,2,1920499.9999999998
Shettigere,3 BHK,2.0,2.0,116.0,3,5800000.0
Bisuvanahalli,3 BHK,2.0,2.0,52.0,3,2600000.0
Sarjapur,2 BHK,2.0,2.0,25.38,2,1269000.0
Badavala Nagar,2 BHK,2.0,2.0,57.0,2,2850000.0
Bannerghatta Road,2 BHK,1302.5,2.0,67.73,2,5200.0
Rahat Bagh,4 Bedroom,2.0,5.0,550.0,4,27500000.0
Omarbagh Layout,4 BHK,3317.5,5.0,268.5,4,8093.443858327054
Dasarahalli,2 BHK,2.0,2.0,50.0,2,2500000.0
Malleshwaram,3 BHK,2.0,4.0,326.0,3,16300000.0
6th Phase JP Nagar,3 BHK,2.0,3.0,200.0,3,10000000.0
Hosakerehalli,1 Bedroom,2.0,1.0,150.0,1,7500000.0
Jigani,4 Bedroom,2.0,4.0,190.0,4,9500000.0
Thubarahalli,2 BHK,2.0,2.0,80.0,2,4000000.0
Tumkur Road,3 BHK,2.0,2.0,110.0,3,5500000.0
Jakkur,3 BHK,2.0,2.0,80.0,3,4000000.0
Kanakpura Road,3 BHK,2.0,3.0,85.0,3,4250000.0
Badavala Nagar,2 BHK,2.0,2.0,81.0,2,4050000.0
Chikkasandra,2 Bedroom,2.0,1.0,52.0,2,2600000.0
Malleshpalya,3 BHK,2.0,2.0,69.5,3,3475000.0
Kammanahalli,4 Bedroom,2.0,2.0,280.0,4,14000000.0
Begur Road,3 BHK,2.0,2.0,57.91,3,2895500.0
 Devarabeesana Halli,3 BHK,2.0,3.0,160.0,3,8000000.0
Lakshminarayana Pura,3 BHK,2.0,3.0,150.0,3,7500000.0
Akshayanagara West,2 BHK,2.0,2.0,75.0,2,3750000.0
Kengeri Satellite Town,2 BHK,2.0,2.0,42.0,2,2100000.0
Sarjapur  Road,2 BHK,2.0,2.0,50.0,2,2500000.0
Hosa Road,2 Bedroom,2.0,2.0,50.0,2,2500000.0
Jalahalli,2 BHK,2.0,2.0,32.49,2,1624500.0
Dodda Nekkundi,3 BHK,2.0,3.0,57.2,3,2860000.0
Doddakallasandra,3 BHK,2.0,2.0,56.99,3,2849500.0
Arekere,2 BHK,2.0,2.0,50.0,2,2500000.0
Escorts Colony,5 BHK,2.0,5.0,93.0,5,4650000.0
Thanisandra,1 BHK,2.0,1.0,34.3,1,1714999.9999999998
Kengeri,3 Bedroom,2.0,3.0,90.0,3,4500000.0
Electronic City,4 BHK,2.0,4.0,119.0,4,5950000.0
Iblur Village,3 BHK,2.0,3.0,150.0,3,7500000.0
Electronic City,1 BHK,2.0,1.0,47.0,1,2350000.0
Bisuvanahalli,3 BHK,2.0,2.0,50.0,3,2500000.0
Hulimavu,5 Bedroom,2.0,5.0,101.0,5,5050000.0
Nagavarapalya,1 BHK,2.0,1.0,55.0,1,2750000.0
Srinivasa Nagar,3 BHK,2.0,2.0,75.6,3,3779999.9999999995
Mahadevpura,2 BHK,2.0,2.0,62.0,2,3100000.0
Rajiv Nagar,2 BHK,2.0,2.0,93.0,2,4650000.0
3rd Block Hrbr Layout,4 Bedroom,2.0,3.0,210.0,4,10500000.0
Sarjapur  Road,3 BHK,2.0,2.0,60.0,3,3000000.0
Kasavanhalli,2 BHK,2.0,2.0,42.0,2,2100000.0
1st Phase JP Nagar,2 Bedroom,2.0,2.0,180.0,2,9000000.0
Harlur,3 BHK,2.0,3.0,95.1,3,4755000.0
5th Phase JP Nagar,2 BHK,2.0,2.0,62.8,2,3140000.0
Banashankari,6 BHK,2.0,6.0,180.0,6,9000000.0
Brookefield,3 BHK,2.0,2.0,75.0,3,3750000.0
7th Phase JP Nagar,2 BHK,2.0,2.0,53.0,2,2650000.0
Poorna Pragna Layout,3 BHK,2.0,2.0,58.99,3,2949500.0
"asha township, off hennur road",5 Bedroom,2.0,5.0,285.0,5,14250000.0
Electronic City Phase II,2 BHK,2.0,2.0,28.88,2,1444000.0
1A Block Koramangala,4 Bedroom,2.0,4.0,650.0,4,32500000.0
Uttarahalli,3 BHK,2.0,2.0,95.0,3,4750000.0
Electronic City Phase II,2 BHK,2.0,2.0,28.88,2,1444000.0
Near International Airport,4 BHK,2.0,4.0,150.0,4,7500000.0
Hosakerehalli,8 Bedroom,2.0,6.0,145.0,8,7250000.0
Mysore Road,2 BHK,2.0,2.0,50.0,2,2500000.0
Haralur Road,2 BHK,2.0,2.0,46.0,2,2300000.0
BTM Layout,3 BHK,2.0,2.0,75.0,3,3750000.0
Anjanapura,3 BHK,2.0,2.0,37.72,3,1886000.0
Whitefield,3 BHK,2.0,2.0,55.0,3,2750000.0
Sector 1 HSR Layout,2 Bedroom,2.0,2.0,120.0,2,6000000.0
Rajaji Nagar,4 BHK,2.0,4.0,370.0,4,18500000.0
Harlur,3 BHK,2.0,3.0,135.0,3,6750000.0
Thanisandra,4 BHK,2.0,5.0,135.0,4,6750000.0
JP Nagar,7 Bedroom,2.0,4.0,160.0,7,8000000.0
Gubbalala,2 BHK,2.0,2.0,32.25,2,1612500.0
NTI Layout,2 BHK,2.0,2.0,52.5,2,2625000.0
Vasanth nagar,4 BHK,2.0,4.0,528.0,4,26400000.0
BTM 1st Stage,7 Bedroom,2.0,7.0,110.0,7,5500000.0
Electronic City,2 BHK,2.0,1.0,15.5,2,775000.0
Rajaji Nagar,3 BHK,2.0,2.0,250.0,3,12500000.0
Rajaji Nagar,4 BHK,2.0,4.0,550.0,4,27500000.0
Yelahanka,2 BHK,1405.0,2.0,50.58,2,3600.0
Yelahanka,1 BHK,2.0,1.0,26.0,1,1300000.0
Marathahalli,3 BHK,2.0,3.0,100.0,3,5000000.0
JP Nagar,3 BHK,2.0,2.0,82.0,3,4100000.0
Glass Factory Layout,3 BHK,2.0,3.0,60.0,3,3000000.0
Fraser town,6 Bedroom,2.0,3.0,128.0,6,6400000.0
Judicial Layout,3 BHK,2.0,2.0,53.0,3,2650000.0
Raja Rajeshwari Nagar,2 BHK,2.0,2.0,49.0,2,2450000.0
Dasappa Layout,2 BHK,2.0,2.0,46.0,2,2300000.0
Kathriguppe,3 BHK,2.0,3.0,78.3,3,3915000.0
Bannerghatta Road,2 BHK,2.0,2.0,65.0,2,3250000.0
Thanisandra,2 BHK,2.0,2.0,78.0,2,3900000.0
Chelekare,8 Bedroom,2.0,6.0,60.0,8,3000000.0
Sarjapur  Road,3 BHK,2.0,3.0,93.5,3,4675000.0
Ramamurthy Nagar,3 Bedroom,2.0,3.0,75.0,3,3750000.0
4th T block Jayanagar,4 Bedroom,2.0,4.0,120.0,4,6000000.0
R.T. Nagar,3 BHK,2.0,3.0,125.0,3,6250000.0
Horamavu Agara,6 Bedroom,2.0,5.0,98.0,6,4900000.0
Haralur Road,2 BHK,2.0,2.0,46.0,2,2300000.0
Raja Rajeshwari Nagar,4 Bedroom,2.0,4.0,160.0,4,8000000.0
Sarjapur  Road,3 BHK,2.0,3.0,56.0,3,2800000.0
Doddakallasandra,2 BHK,2.0,2.0,40.39,2,2019500.0
Tumkur Road,3 BHK,2.0,3.0,94.0,3,4700000.0
Kanakpura Road,2 BHK,2.0,2.0,68.0,2,3400000.0
Chamrajpet,4 Bedroom,2.0,4.0,211.0,4,10550000.0
7th Phase JP Nagar,3 BHK,2.0,3.0,125.0,3,6250000.0
Doddathoguru,3 BHK,2.0,3.0,62.0,3,3100000.0
Kanakpura Road,3 BHK,2.0,2.0,95.0,3,4750000.0
Frazer Town,3 BHK,2.0,3.0,288.0,3,14400000.0
Hennur Road,3 BHK,2.0,3.0,133.0,3,6650000.0
BTM 2nd Stage,2 Bedroom,2.0,2.0,175.0,2,8750000.0
Electronic City Phase II,2 BHK,2.0,2.0,28.88,2,1444000.0
Sonam Layout,2 BHK,2.0,2.0,50.0,2,2500000.0
Hosakerehalli,3 BHK,2.0,3.0,245.0,3,12250000.0
CR Layout,3 BHK,2.0,3.0,200.0,3,10000000.0
Kaikondrahalli,3 BHK,2.0,3.0,105.0,3,5250000.0
Bommanahalli,2 BHK,2.0,2.0,73.0,2,3650000.0
Yelahanka,2 BHK,2.0,2.0,60.0,2,3000000.0
Vishveshwarya Layout,6 BHK,2.0,6.0,92.0,6,4600000.0
Electronics City Phase 1,2 BHK,2.0,2.0,49.8,2,2490000.0
Banashankari Stage II,2 Bedroom,2.0,2.0,55.0,2,2750000.0
Rajaji Nagar,4 BHK,2.0,4.0,598.0,4,29900000.0
Gottigere,3 BHK,2.0,2.0,47.0,3,2350000.0
BTM 4th Stage,3 BHK,2.0,2.0,55.0,3,2750000.0
Jalahalli West,1 BHK,2.0,1.0,23.0,1,1150000.0
Uttarahalli,3 BHK,2.0,2.0,48.48,3,2424000.0
Vishveshwarya Layout,4 Bedroom,2.0,4.0,210.0,4,10500000.0
Srinivasa Nagar,5 BHK,2.0,3.0,130.0,5,6500000.0
Gollahalli,2 BHK,2.0,2.0,53.0,2,2650000.0
AGS Layout,3 BHK,2.0,2.0,75.0,3,3750000.0
HBR Layout,3 BHK,2.0,3.0,125.0,3,6250000.0
Haralur Road,3 BHK,2.0,2.0,90.0,3,4500000.0
Sarjapur  Road,2 BHK,2.0,2.0,55.0,2,2750000.0
Raja Rajeshwari Nagar,2 BHK,2.0,2.0,54.35,2,2717500.0
Whitefield,2 BHK,2.0,2.0,55.0,2,2750000.0
Karuna Nagar,3 Bedroom,2.0,3.0,180.0,3,9000000.0
Bannerghatta Road,2 BHK,2.0,2.0,65.0,2,3250000.0
Gollahalli,3 BHK,2.0,3.0,78.0,3,3900000.0
NGR Layout,2 BHK,2.0,2.0,45.9,2,2295000.0
Whitefield,2 BHK,2.0,3.0,76.0,2,3800000.0
Arekempanahalli,3 BHK,2.0,3.0,110.0,3,5500000.0
Whitefield,4 BHK,2.0,5.0,226.0,4,11300000.0
Raja Rajeshwari Nagar,3 BHK,2.0,3.0,52.45,3,2622500.0
Raja Rajeshwari Nagar,2 BHK,2.0,2.0,50.0,2,2500000.0
 Devarabeesana Halli,3 BHK,2.0,3.0,150.0,3,7500000.0
9th Phase JP Nagar,2 BHK,2.0,2.0,71.0,2,3550000.0
Rachenahalli,3 BHK,2.0,3.0,72.5,3,3625000.0
Akshaya Nagar,3 BHK,2.0,4.0,102.0,3,5100000.0
Kengeri,1 BHK,2.0,1.0,22.5,1,1125000.0
8th Phase JP Nagar,3 Bedroom,2.0,3.0,130.0,3,6500000.0
Chamundi Nagar,7 Bedroom,2.0,7.0,250.0,7,12500000.0
Silk Board,2 BHK,2.0,2.0,48.0,2,2400000.0
Cunningham Road,3 BHK,2.0,3.0,501.0,3,25050000.0
Hebbal,3 BHK,2.0,4.0,165.0,3,8250000.0
Hoodi,2 BHK,2.0,2.0,75.0,2,3750000.0
Sarjapur,4 Bedroom,2.0,3.0,125.0,4,6250000.0
Electronic City,2 BHK,2.0,2.0,32.5,2,1625000.0
Horamavu Banaswadi,2 BHK,2.0,2.0,49.5,2,2475000.0
Hennur,2 BHK,2.0,2.0,55.5,2,2775000.0
MRCR Layout,2 BHK,2.0,2.0,90.0,2,4500000.0
Uttarahalli,6 Bedroom,2.0,6.0,303.0,6,15150000.0
Electronic City,2 BHK,2.0,2.0,33.64,2,1682000.0
Kacharakanahalli,2 BHK,2.0,2.0,35.11,2,1755500.0
Nagarbhavi,3 BHK,2.0,2.0,88.0,3,4400000.0
Marsur,2 BHK,2.0,1.0,17.0,2,850000.0
Hennur Road,2 BHK,2.0,2.0,89.0,2,4450000.0
Thanisandra,3 BHK,2.0,3.0,85.73,3,4286500.0
Yelahanka,3 BHK,2.0,2.0,100.0,3,5000000.0
Magadi Road,2 BHK,2.0,1.0,22.0,2,1100000.0
Thigalarapalya,3 BHK,2.0,4.0,155.0,3,7750000.0
Electronic City,2 BHK,2.0,2.0,34.0,2,1700000.0
Shettihalli,4 Bedroom,2.0,4.0,90.0,4,4500000.0
Shampura,4 BHK,2.0,3.0,54.0,4,2700000.0
J C Nagar,8 BHK,2.0,6.0,110.0,8,5500000.0
Marsur,3 Bedroom,2.0,3.0,150.0,3,7500000.0
OLd Gurappanapalya,4 BHK,2.0,5.0,250.0,4,12500000.0
Doctors Layout,2 BHK,2.0,2.0,42.0,2,2100000.0
Whitefield,2 BHK,2.0,2.0,75.0,2,3750000.0
Lingadheeranahalli,4 BHK,2.0,4.0,154.0,4,7700000.0
Bannerghatta Road,3 BHK,2.0,3.0,125.0,3,6250000.0
Ambedkar Nagar,3 BHK,2.0,3.0,130.0,3,6500000.0
Udaya Nagar,2 BHK,2.0,2.0,47.0,2,2350000.0
Panathur,3 BHK,2.0,3.0,67.12,3,3356000.0
Jakkur,3 BHK,2.0,4.0,160.0,3,8000000.0
Marathahalli,2 BHK,2.0,2.0,90.0,2,4500000.0
Harlur,3 BHK,2.0,3.0,133.0,3,6650000.0
Kammasandra,3 Bedroom,2.0,3.0,92.0,3,4600000.0
Rachenahalli,3 BHK,2.0,2.0,74.4,3,3720000.0000000005
New Thippasandra,6 Bedroom,2.0,6.0,400.0,6,20000000.0
Raja Rajeshwari Nagar,2 BHK,2.0,2.0,40.17,2,2008500.0
Yelahanka,3 BHK,2.0,3.0,108.0,3,5400000.0
Varthur Road,3 BHK,2.0,2.0,58.0,3,2900000.0
1st Block Jayanagar,8 Bedroom,2.0,4.0,104.0,8,5200000.0
HRBR Layout,6 Bedroom,2.0,6.0,275.0,6,13750000.0
Bellandur,2 BHK,2.0,2.0,59.99,2,2999500.0
Gunjur Palya,2 BHK,2.0,2.0,40.0,2,2000000.0
Electronic City Phase II,2 BHK,2.0,2.0,30.29,2,1514500.0
Bommanahalli,2 BHK,2.0,1.0,55.0,2,2750000.0
9th Phase JP Nagar,3 BHK,2.0,2.0,93.0,3,4650000.0
Maithri Layout,3 BHK,2.0,3.0,60.0,3,3000000.0
Sarakki Nagar,4 BHK,2.0,4.0,349.0,4,17450000.0
Battarahalli,2 BHK,2.0,2.0,43.0,2,2150000.0
Kachanayakanahalli,2 BHK,2.0,2.0,45.0,2,2250000.0
Gangondanahalli,3 Bedroom,2.0,2.0,48.0,3,2400000.0
Uttarahalli,4 Bedroom,2.0,4.0,179.0,4,8950000.0
Electronics City Phase 1,1 BHK,2.0,1.0,26.0,1,1300000.0
Whitefield,4 Bedroom,2.0,4.0,380.0,4,19000000.0
Vishwanatha Nagenahalli,2 BHK,2.0,2.0,50.0,2,2500000.0
D Group Employees Layout,5 Bedroom,2.0,4.0,76.0,5,3800000.0
Jakkur,3 BHK,2.0,3.0,168.0,3,8400000.0
Kanakapura,3 Bedroom,2.0,3.0,125.0,3,6250000.0
Yelenahalli,3 BHK,2.0,2.0,57.0,3,2850000.0
Benson Town,3 BHK,2.0,4.0,470.0,3,23500000.0
Raja Rajeshwari Nagar,3 BHK,2.0,3.0,72.0,3,3600000.0
Vasanth nagar,4 BHK,2.0,6.0,1102.0,4,55100000.0
Bommasandra,2 BHK,2.0,2.0,40.89,2,2044500.0
Thanisandra,2 BHK,2.0,2.0,43.5,2,2175000.0
Talaghattapura,3 BHK,2.0,3.0,135.0,3,6750000.0
Basavangudi,6 Bedroom,2.0,6.0,650.0,6,32500000.0
2nd Block Hrbr Layout,3 Bedroom,2.0,3.0,1100.0,3,55000000.0
B Narayanapura,2 BHK,2.0,2.0,49.27,2,2463500.0
Haralur Road,2 BHK,2.0,2.0,60.0,2,3000000.0
Hormavu,4 Bedroom,2.0,4.0,100.0,4,5000000.0
Bellandur,2 BHK,2.0,2.0,65.0,2,3250000.0
Sai Gardens,2 BHK,2.0,2.0,61.0,2,3050000.0
Manayata Tech Park,2 BHK,2.0,2.0,46.0,2,2300000.0
Ramamurthy Nagar,2 BHK,2.0,2.0,33.0,2,1650000.0
7th Phase JP Nagar,3 BHK,2.0,2.0,135.0,3,6750000.0
Ullal Road,4 Bedroom,2.0,4.0,190.0,4,9500000.0
Kodihalli,4 BHK,2.0,5.0,388.0,4,19400000.0
Doddakammanahalli,2 BHK,2.0,2.0,56.0,2,2800000.0
Uttarahalli,2 BHK,2.0,2.0,45.0,2,2250000.0
Kasavanhalli,4 BHK,2.0,3.0,105.0,4,5250000.0
Sahakara Nagar,3 BHK,2.0,3.0,149.0,3,7450000.0
BTM Layout,3 BHK,2.0,3.0,79.0,3,3950000.0
Thirumenahalli,5 Bedroom,2.0,4.0,115.0,5,5750000.0
Babusapalaya,2 BHK,2.0,2.0,40.0,2,2000000.0
Hulimavu,3 BHK,2.0,5.0,220.0,3,11000000.0
Bannerghatta Road,6 Bedroom,2.0,6.0,160.0,6,8000000.0
Akshaya Nagar,3 BHK,2.0,3.0,90.0,3,4500000.0
Yelahanka,3 BHK,2.0,3.0,86.0,3,4300000.0
Jigani,2 BHK,2.0,2.0,50.0,2,2500000.0
Sarjapur  Road,3 BHK,2.0,2.0,98.0,3,4900000.0
Jakkasandra Extension,2 BHK,2.0,2.0,70.0,2,3500000.0
BEML Layout,2 BHK,2.0,2.0,65.0,2,3250000.0
Laggere,2 Bedroom,2.0,2.0,75.0,2,3750000.0
Bannerghatta Road,3 BHK,2.0,2.0,52.0,3,2600000.0
Sarjapur  Road,3 BHK,2.0,3.0,48.87,3,2443500.0
Subramanyapura,2 BHK,2.0,2.0,56.0,2,2800000.0
Frazer Town,4 BHK,2.0,5.0,341.0,4,17050000.0
7th Phase JP Nagar,2 BHK,2.0,2.0,39.33,2,1966500.0
8th Phase JP Nagar,4 BHK,2.0,4.0,92.0,4,4600000.0
Channasandra,2 BHK,2.0,2.0,40.47,2,2023500.0
